Function,Line,Col,Block Size,Time,L1,L2
1,600,600,None,0.222431,243544729.0,292050.0
1,1000,1000,None,0.735413,1138091255.0,7932028.0
1,1400,1400,None,2.36042,3114836590.0,64410412.0
1,1800,1800,None,5.31726,6609583140.0,104205257.0
1,2200,2200,None,10.472,12050647823.0,790925525.0
1,2600,2600,None,18.4528,19873916712.0,1639374291.0
1,3000,3000,None,29.1968,30522137844.0,2746064251.0
2,600,600,None,0.060832,27557407.0,158022.0
2,1000,1000,None,0.270391,128470051.0,1068855.0
2,1400,1400,None,0.923523,359192488.0,1776536.0
2,1800,1800,None,2.1463,780362631.0,4349659.0
2,2200,2200,None,3.83951,1929521054.0,1439682.0
2,2600,2600,None,6.20357,4037334802.0,2082285.0
2,3000,3000,None,9.42481,6506962508.0,3206196.0
2,4096,4096,None,24.2677,17249569893.0,6640839.0
2,6144,6144,None,81.9788,58260925891.0,23232770.0
2,8192,8192,None,196.233,138075615685.0,59411626.0
2,10240,10240,None,382.939,269618480643.0,118622536.0
3,4096,4096,512,23.4046,9133863821.0,551187447.0
3,4096,4096,1024,36.9572,9862749060.0,389015420.0
3,4096,4096,2048,32.0798,12517586719.0,139351163.0
3,4096,4096,4096,25.3925,17284215987.0,7499149.0
3,6144,6144,512,64.0028,30431828594.0,1867647463.0
3,6144,6144,1024,93.0008,32036284741.0,1053271574.0
3,6144,6144,2048,110.036,42547481769.0,468145271.0
3,6144,6144,4096,100.045,53240554732.0,317844592.0
3,8192,8192,512,374.116,76658325985.0,4435093493.0
3,8192,8192,1024,299.328,81387459102.0,5302843195.0
3,8192,8192,2048,257.749,99677948359.0,1129482152.0
3,8192,8192,4096,227.864,139278022616.0,558602382.0
3,10240,10240,512,296.227,140789102330.0,8658541632.0
3,10240,10240,1024,446.27,148665387108.0,4895166234.0
3,10240,10240,2048,521.884,196887918936.0,2168732134.0
3,10240,10240,4096,470.51,256677082134.0,1311063137.0
